Source ID|Target ID
68358	 | 	143261
68357	 | 	143260
68356	 | 	143259
68564	 | 	143277
68741	 | 	143306
2743	 | 	143247
4907	 | 	143257
2739	 | 	143246
4905	 | 	143256
4705	 | 	143254
4704	 | 	143253
2733	 | 	143244
2732	 | 	143243
2729	 | 	143242
2728	 | 	143241
2727	 | 	143240
2726	 | 	143239
69193	 | 	143312
2738	 | 	143245
2717	 | 	143238
68603	 | 	143287
2711	 | 	143237
68626	 | 	143300
69098	 | 	143310
69097	 | 	143309
2707	 | 	143236
2706	 | 	143235
2704	 | 	143234
2703	 | 	143233
2702	 | 	143232
4857	 | 	143255
68964	 | 	143307
68570	 | 	143282
3061	 | 	143251
68566	 | 	143279
23152	 | 	143258
68614	 | 	143291
68459	 | 	143276
3052	 | 	143250
3239	 | 	143252
85	 | 	143224
69031	 | 	143308
68631	 | 	143305
68630	 | 	143304
68629	 | 	143303
68628	 | 	143302
68627	 | 	143301
3025	 | 	143249
68625	 | 	143299
2628	 | 	143231
68622	 | 	143297
65	 | 	143223
68620	 | 	143295
68619	 | 	143294
68616	 | 	143293
68615	 | 	143292
58	 | 	143222
68613	 | 	143290
68612	 | 	143289
68611	 | 	143288
54	 | 	143221
68573	 | 	143285
68406	 | 	143275
68405	 | 	143274
69192	 | 	143311
68403	 | 	143273
42	 | 	143220
68623	 | 	143298
35	 | 	143219
68621	 | 	143296
1011	 | 	143230
1009	 | 	143229
1008	 | 	143228
1007	 | 	143227
1006	 | 	143226
1005	 | 	143225
68574	 | 	143286
2972	 | 	143248
68572	 | 	143284
68571	 | 	143283
68373	 | 	143272
68568	 | 	143281
68370	 | 	143271
68369	 | 	143270
68565	 | 	143278
68367	 | 	143269
68567	 | 	143280
68365	 | 	143268
68364	 | 	143267
68363	 | 	143266
68362	 | 	143265
68361	 | 	143264
68360	 | 	143263
68359	 | 	143262
